Tijdslot,Zaal,Vak,Activiteit,Student
monday 9-11,A1.04,Software engineering,Tutorial 2,Eltjo Beunen
monday 9-11,A1.04,Software engineering,Tutorial 2,Filipe Wiersema
monday 9-11,A1.04,Software engineering,Tutorial 2,Scotty van der Stoel
monday 9-11,A1.04,Software engineering,Tutorial 2,Seyit Cleven
monday 9-11,A1.04,Software engineering,Tutorial 2,Rayen van de Kruijs
monday 9-11,A1.04,Software engineering,Tutorial 2,Yee Koppers
monday 9-11,A1.04,Software engineering,Tutorial 2,Ruveyda van Lingen
monday 9-11,A1.04,Software engineering,Tutorial 2,Abdelkader Gijbels
monday 9-11,A1.04,Software engineering,Tutorial 2,Patryk van de Kraats
monday 9-11,A1.04,Software engineering,Tutorial 2,Maritte Gok
monday 9-11,A1.04,Software engineering,Tutorial 2,Ceciel Kentie
monday 9-11,A1.04,Software engineering,Tutorial 2,Dana Hoeksema
monday 9-11,A1.04,Software engineering,Tutorial 2,Arina Ubbink
monday 9-11,A1.04,Software engineering,Tutorial 2,Perry Blijleven
monday 9-11,A1.04,Software engineering,Tutorial 2,Ytje Hup
monday 9-11,A1.04,Software engineering,Tutorial 2,Janniek de Leest
monday 9-11,A1.04,Software engineering,Tutorial 2,Remon Kost
monday 9-11,A1.04,Software engineering,Tutorial 2,Juno Zaaijer
monday 9-11,A1.04,Software engineering,Tutorial 2,Angelica Sarikaya
monday 9-11,A1.04,Software engineering,Tutorial 2,Enrico van Triest
monday 9-11,A1.04,Software engineering,Tutorial 2,Silvy Schrauwen
monday 9-11,A1.04,Software engineering,Tutorial 2,Javier Pruijmboom
monday 9-11,A1.04,Software engineering,Tutorial 2,Solomon Verhorst
monday 9-11,A1.04,Software engineering,Tutorial 2,Faya Jagersma
monday 9-11,A1.04,Software engineering,Tutorial 2,Frederic IJkema
monday 9-11,A1.04,Software engineering,Tutorial 2,Theadora Besemer
monday 9-11,A1.04,Software engineering,Tutorial 2,Franke Stoppels
monday 9-11,A1.04,Software engineering,Tutorial 2,Fae van Luttikhuizen
monday 9-11,A1.04,Software engineering,Tutorial 2,Fatime Rodenburg
monday 9-11,A1.04,Software engineering,Tutorial 2,Jael Boutkan
monday 9-11,A1.04,Software engineering,Tutorial 2,Jacey Tun
monday 9-11,A1.04,Software engineering,Tutorial 2,Malcolm Looij
monday 9-11,A1.04,Software engineering,Tutorial 2,Rika Buizer
monday 9-11,A1.04,Software engineering,Tutorial 2,Rayn Bolding
monday 9-11,A1.04,Software engineering,Tutorial 2,Arif Schrader
monday 9-11,A1.04,Software engineering,Tutorial 2,Jiri Vinke
monday 9-11,A1.04,Software engineering,Tutorial 2,Luciana Putters
monday 9-11,A1.04,Software engineering,Tutorial 2,Wannes Lohuis
monday 9-11,A1.04,Software engineering,Tutorial 2,Farah Pastoor
monday 9-11,A1.04,Software engineering,Tutorial 2,Caressa van Roemburg
monday 9-11,A1.06,Heuristieken 1,Lecture 1,Deacon Gielissen
monday 9-11,A1.06,Heuristieken 1,Lecture 1,Guilliano Blomsma
monday 9-11,A1.06,Heuristieken 1,Lecture 1,Geerten Elschot
monday 9-11,A1.06,Heuristieken 1,Lecture 1,Yang van Munster
monday 9-11,A1.06,Heuristieken 1,Lecture 1,Ella Bischoff
monday 9-11,A1.06,Heuristieken 1,Lecture 1,Ziggy de Smit
monday 9-11,A1.06,Heuristieken 1,Lecture 1,Inger Notermans
monday 9-11,A1.06,Heuristieken 1,Lecture 1,Solane Paulissen
monday 9-11,A1.06,Heuristieken 1,Lecture 1,Tom Stokkel
monday 9-11,A1.06,Heuristieken 1,Lecture 1,Olof Tap
monday 9-11,A1.06,Heuristieken 1,Lecture 1,Jorian van Zijderveld
monday 9-11,A1.06,Heuristieken 1,Lecture 1,Lysbeth Keuken
monday 9-11,A1.06,Heuristieken 1,Lecture 1,Dinah Ensink
monday 9-11,A1.06,Heuristieken 1,Lecture 1,Everhard Curvers
monday 9-11,A1.06,Heuristieken 1,Lecture 1,Amelie Daams
monday 9-11,A1.06,Heuristieken 1,Lecture 1,Joshi van Groeningen
monday 9-11,A1.06,Heuristieken 1,Lecture 1,Sherwin Lugthart
monday 9-11,A1.06,Heuristieken 1,Lecture 1,Sivar Rottier
monday 9-11,A1.06,Heuristieken 1,Lecture 1,Jaiden Schoonderwoerd
monday 9-11,A1.06,Heuristieken 1,Lecture 1,Jos Welling
monday 9-11,A1.06,Heuristieken 1,Lecture 1,Seyit Cleven
monday 9-11,A1.06,Heuristieken 1,Lecture 1,Tori Roeterdink
monday 9-11,A1.06,Heuristieken 1,Lecture 1,Tea Rutte
