Tijdslot,Zaal,Vak,Activiteit,Student
monday 9-11,A1.04,Netwerken en systeembeveiliging,Lab 1,Thom Schuiling
monday 9-11,A1.04,Netwerken en systeembeveiliging,Lab 1,Miguel van Oss
monday 9-11,A1.04,Netwerken en systeembeveiliging,Lab 1,Bilal Tip
monday 9-11,A1.04,Netwerken en systeembeveiliging,Lab 1,Raven Elissen
monday 9-11,A1.04,Netwerken en systeembeveiliging,Lab 1,Johanne Holstein
monday 9-11,A1.04,Netwerken en systeembeveiliging,Lab 1,Emrah Schrama
monday 9-11,A1.04,Netwerken en systeembeveiliging,Lab 1,Monika Blikman
monday 9-11,A1.04,Netwerken en systeembeveiliging,Lab 1,Titia Korbee
monday 9-11,A1.04,Netwerken en systeembeveiliging,Lab 1,Marrie Bekker
monday 9-11,A1.04,Netwerken en systeembeveiliging,Lab 1,Timo Postuma
monday 9-11,A1.04,Netwerken en systeembeveiliging,Lab 1,Jarik Regeling
monday 9-11,A1.04,Netwerken en systeembeveiliging,Lab 1,Ruveyda van Lingen
monday 9-11,A1.04,Netwerken en systeembeveiliging,Lab 1,Nadir Remijn
monday 9-11,A1.04,Netwerken en systeembeveiliging,Lab 1,Sharief Stegink
monday 9-11,A1.04,Netwerken en systeembeveiliging,Lab 1,Chrystel Kalshoven
monday 9-11,A1.04,Netwerken en systeembeveiliging,Lab 1,Genesis Potman
monday 9-11,A1.04,Netwerken en systeembeveiliging,Lab 1,Priscillia van Voorden
monday 9-11,A1.04,Netwerken en systeembeveiliging,Lab 1,Mattie Eisinga
monday 9-11,A1.04,Netwerken en systeembeveiliging,Lab 1,Talha Vermeeren
monday 9-11,A1.04,Netwerken en systeembeveiliging,Lab 1,Zahir Poepjes
monday 9-11,A1.06,Autonomous Agents 2,Tutorial 3,Jurrian Fekkes
monday 9-11,A1.06,Autonomous Agents 2,Tutorial 3,Rhona Vromans
monday 9-11,A1.08,Collectieve Intelligentie,Tutorial 4,Virginie Brunsveld
monday 9-11,A1.10,Netwerken en systeembeveiliging,Lab 2,Annigje Prinssen
monday 9-11,A1.10,Netwerken en systeembeveiliging,Lab 2,Maruschka Doppenberg
monday 9-11,A1.10,Netwerken en systeembeveiliging,Lab 2,Ravi Bauer
monday 9-11,A1.10,Netwerken en systeembeveiliging,Lab 2,Nika van Baaren
monday 9-11,A1.10,Netwerken en systeembeveiliging,Lab 2,Josef van der Wiel
monday 9-11,A1.10,Netwerken en systeembeveiliging,Lab 2,Ouidad van Hall
monday 9-11,A1.10,Netwerken en systeembeveiliging,Lab 2,Fynn Krabbe
monday 9-11,A1.10,Netwerken en systeembeveiliging,Lab 2,Ciske van Kalsbeek
monday 9-11,A1.10,Netwerken en systeembeveiliging,Lab 2,Marck Soekhai
monday 9-11,A1.10,Netwerken en systeembeveiliging,Lab 2,Edwinus Voigt
monday 9-11,A1.10,Netwerken en systeembeveiliging,Lab 2,Sezen Kivits
monday 9-11,A1.10,Netwerken en systeembeveiliging,Lab 2,Berdina Heijman
monday 9-11,A1.10,Netwerken en systeembeveiliging,Lab 2,Shakir Paauwe
monday 9-11,A1.10,Netwerken en systeembeveiliging,Lab 2,Silvy Schrauwen
monday 9-11,A1.10,Netwerken en systeembeveiliging,Lab 2,Dingenus Loeffen
monday 9-11,A1.10,Netwerken en systeembeveiliging,Lab 2,Angus Brusse
monday 9-11,A1.10,Netwerken en systeembeveiliging,Lab 2,Fatime Rodenburg
monday 9-11,A1.10,Netwerken en systeembeveiliging,Lab 2,Tevfik Rothuizen
monday 9-11,A1.10,Netwerken en systeembeveiliging,Lab 2,Jurre van de Sanden
monday 9-11,A1.10,Netwerken en systeembeveiliging,Lab 2,Shan Rokx
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Edin Bastings
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Mattijs Baudoin
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Angle Berentsen
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Emil Bergmans
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Saba Bhaggoe
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Narin Boshuis
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Ethan Broer
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Wytske Buining
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Lucienne Caris
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Manuel de Boon
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Janniek de Leest
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Brigitta Diallo
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Andre Dieters
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Ko Droste
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Jurrian Fekkes
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Yalda Grootenboer
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Frederic IJkema
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Jenske Jongejan
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Chi Liebregts
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Fredrika Lopez
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Lisse Moes
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Inas Niezen
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Vincentius Pater
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Solane Paulissen
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Romy Piek
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Timo Postuma
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Desiree Potgieter
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Cheyenna Reuvekamp
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Karam Rinkel
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Ziya Rooijmans
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Tevfik Rothuizen
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Logan Sonnemans
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Franke Stoppels
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Ard Tielemans
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Deejay van der Geer
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Aynel van der Marel
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Agelo van der Meer
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Berit van Ingen
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Jodi van Riel
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Julot van Teeffelen
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Laurent Wallenburg
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Yuna Winkelaar
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Gabriella Yazici
monday 9-11,C0.110,Autonomous Agents 2,Lab 2,Roan Meulmeester
monday 9-11,C0.110,Autonomous Agents 2,Lab 2,Umar Grift
monday 9-11,C0.110,Autonomous Agents 2,Lab 2,Herwin Ester
monday 9-11,C0.110,Autonomous Agents 2,Lab 2,Virginie Brunsveld
monday 9-11,C0.110,Autonomous Agents 2,Lab 2,Abdallah Beulen
monday 9-11,C0.110,Autonomous Agents 2,Lab 2,Luciana Putters
