Tijdslot,Zaal,Vak,Activiteit,Student
monday 9-11,A1.04,Reflectie op de digitale cultuur,Tutorial 1,Hendrik-Jan Prevoo
monday 9-11,A1.04,Reflectie op de digitale cultuur,Tutorial 1,Maritha van der Niet
monday 9-11,A1.04,Reflectie op de digitale cultuur,Tutorial 1,Ceciel Kentie
monday 9-11,A1.04,Reflectie op de digitale cultuur,Tutorial 1,Wytske Buining
monday 9-11,A1.04,Reflectie op de digitale cultuur,Tutorial 1,Inger Notermans
monday 9-11,A1.04,Reflectie op de digitale cultuur,Tutorial 1,Seval van Leussen
monday 9-11,A1.04,Reflectie op de digitale cultuur,Tutorial 1,Marck Wijngaarden
monday 9-11,A1.04,Reflectie op de digitale cultuur,Tutorial 1,Haiko Raaijmakers
monday 9-11,A1.04,Reflectie op de digitale cultuur,Tutorial 1,Robbie van de Geijn
monday 9-11,A1.04,Reflectie op de digitale cultuur,Tutorial 1,Marck Soekhai
monday 9-11,A1.04,Reflectie op de digitale cultuur,Tutorial 1,Goven Curfs
monday 9-11,A1.04,Reflectie op de digitale cultuur,Tutorial 1,Riana Kampers
monday 9-11,A1.04,Reflectie op de digitale cultuur,Tutorial 1,Leida van de Ridder
monday 9-11,A1.04,Reflectie op de digitale cultuur,Tutorial 1,Jeremey Bontenbal
monday 9-11,A1.04,Reflectie op de digitale cultuur,Tutorial 1,Mahmud Heller
monday 9-11,A1.04,Reflectie op de digitale cultuur,Tutorial 1,Donna Buurma
monday 9-11,A1.04,Reflectie op de digitale cultuur,Tutorial 1,Liana Charita
monday 9-11,A1.04,Reflectie op de digitale cultuur,Tutorial 1,Tjesse Voesten
monday 9-11,A1.04,Reflectie op de digitale cultuur,Tutorial 1,Shan Rokx
monday 9-11,A1.04,Reflectie op de digitale cultuur,Tutorial 1,Ihsane Wind
monday 9-11,A1.06,Empty,,
monday 9-11,A1.08,Programmeren in Java 2,Lab 4,Rochelle Thielen
monday 9-11,A1.08,Programmeren in Java 2,Lab 4,Adil Klop
monday 9-11,A1.08,Programmeren in Java 2,Lab 4,Henricus Noot
monday 9-11,A1.08,Programmeren in Java 2,Lab 4,Caressa van Roemburg
monday 9-11,A1.08,Programmeren in Java 2,Lab 4,Antonetta Moeskops
monday 9-11,A1.08,Programmeren in Java 2,Lab 4,Eylem Haas
monday 9-11,A1.08,Programmeren in Java 2,Lab 4,Sayfeddine Bruijnes
monday 9-11,A1.08,Programmeren in Java 2,Lab 4,Leo van Amerongen
monday 9-11,A1.08,Programmeren in Java 2,Lab 4,Noa Slangen
monday 9-11,A1.08,Programmeren in Java 2,Lab 4,Mellanie Zhang
monday 9-11,A1.08,Programmeren in Java 2,Lab 4,Ouidad van Hall
monday 9-11,A1.08,Programmeren in Java 2,Lab 4,Marnik Imthorn
monday 9-11,A1.08,Programmeren in Java 2,Lab 4,Wytske Buining
monday 9-11,A1.08,Programmeren in Java 2,Lab 4,Darian van der Steege
monday 9-11,A1.08,Programmeren in Java 2,Lab 4,Tea Horstink
monday 9-11,A1.08,Programmeren in Java 2,Lab 4,Bobby Veldhuis
monday 9-11,A1.08,Programmeren in Java 2,Lab 4,Agelo van der Meer
monday 9-11,A1.08,Programmeren in Java 2,Lab 4,Mellisa Leemburg
monday 9-11,A1.08,Programmeren in Java 2,Lab 4,Jenske Jongejan
