Tijdslot,Zaal,Vak,Activiteit,Student
monday 9-11,A1.04,Software engineering,Tutorial 1,Krijntje Rombout
monday 9-11,A1.04,Software engineering,Tutorial 1,Minoesch Scheltema
monday 9-11,A1.04,Software engineering,Tutorial 1,Ycel van Kasteel
monday 9-11,A1.04,Software engineering,Tutorial 1,Bjorn Leijen
monday 9-11,A1.04,Software engineering,Tutorial 1,Tamar Jongbloed
monday 9-11,A1.04,Software engineering,Tutorial 1,Abram van Mierlo
monday 9-11,A1.04,Software engineering,Tutorial 1,Hanan Lathouwers
monday 9-11,A1.04,Software engineering,Tutorial 1,Brecht Eeltink
monday 9-11,A1.04,Software engineering,Tutorial 1,Geerte van der Meij
monday 9-11,A1.04,Software engineering,Tutorial 1,Ouidad van Hall
monday 9-11,A1.04,Software engineering,Tutorial 1,Haroun Lemaire
monday 9-11,A1.04,Software engineering,Tutorial 1,Imran Scheffers
monday 9-11,A1.04,Software engineering,Tutorial 1,Marssae Joseph
monday 9-11,A1.04,Software engineering,Tutorial 1,Eyup Wesselman
monday 9-11,A1.04,Software engineering,Tutorial 1,Romy Piek
monday 9-11,A1.04,Software engineering,Tutorial 1,Catharinus Eggermont
monday 9-11,A1.04,Software engineering,Tutorial 1,Ynze Freriks
monday 9-11,A1.04,Software engineering,Tutorial 1,Roma Rotgans
monday 9-11,A1.04,Software engineering,Tutorial 1,Renco van Weel
monday 9-11,A1.04,Software engineering,Tutorial 1,Naciye van Eert
monday 9-11,A1.04,Software engineering,Tutorial 1,Sanja Tas
monday 9-11,A1.04,Software engineering,Tutorial 1,Kavish Versteeg
monday 9-11,A1.04,Software engineering,Tutorial 1,Abdallah Beulen
monday 9-11,A1.04,Software engineering,Tutorial 1,Yana de Looff
monday 9-11,A1.04,Software engineering,Tutorial 1,Saif Sikking
monday 9-11,A1.04,Software engineering,Tutorial 1,Yanick Abbing
monday 9-11,A1.04,Software engineering,Tutorial 1,Geerten Elschot
monday 9-11,A1.04,Software engineering,Tutorial 1,Zahir Poepjes
monday 9-11,A1.04,Software engineering,Tutorial 1,Brigitta Diallo
monday 9-11,A1.04,Software engineering,Tutorial 1,Fredrika Lopez
monday 9-11,A1.04,Software engineering,Tutorial 1,Nygel Vaatstra
monday 9-11,A1.04,Software engineering,Tutorial 1,Aart Pothuizen
monday 9-11,A1.04,Software engineering,Tutorial 1,Rosali Heikoop
monday 9-11,A1.04,Software engineering,Tutorial 1,Jorian van Zijderveld
monday 9-11,A1.04,Software engineering,Tutorial 1,Rachell Smallegange
monday 9-11,A1.04,Software engineering,Tutorial 1,Lamia Mok
monday 9-11,A1.04,Software engineering,Tutorial 1,Ko Droste
monday 9-11,A1.04,Software engineering,Tutorial 1,Sonny Mol
monday 9-11,A1.04,Software engineering,Tutorial 1,Christal Hoogerbrugge
monday 9-11,A1.06,Advanced Heuristics,Lab 2,Shan Rokx
monday 9-11,A1.06,Advanced Heuristics,Lab 2,Mellisa Leemburg
monday 9-11,A1.06,Advanced Heuristics,Lab 2,Myron Middel
monday 9-11,A1.06,Advanced Heuristics,Lab 2,Kyllian Bekkema
monday 9-11,A1.06,Advanced Heuristics,Lab 2,Seyed Laurijssen
monday 9-11,A1.06,Advanced Heuristics,Lab 2,Angle Berentsen
monday 9-11,A1.06,Advanced Heuristics,Lab 2,Herman Apeldoorn
monday 9-11,A1.06,Advanced Heuristics,Lab 2,Tian Berkers
monday 9-11,A1.06,Advanced Heuristics,Lab 2,Eleanora Rovers
monday 9-11,A1.06,Advanced Heuristics,Lab 2,Malte Zondag
monday 9-11,A1.08,Databases 2,Tutorial 4,Malcolm Looij
monday 9-11,A1.08,Databases 2,Tutorial 4,Stephano Popma
monday 9-11,A1.08,Databases 2,Tutorial 4,Nesrin Holt
monday 9-11,A1.08,Databases 2,Tutorial 4,Mellanie Zhang
monday 9-11,A1.08,Databases 2,Tutorial 4,Kelly Doedens
monday 9-11,A1.08,Databases 2,Tutorial 4,Anne-Jan van Waardenburg
monday 9-11,A1.08,Databases 2,Tutorial 4,Logan Sonnemans
monday 9-11,A1.08,Databases 2,Tutorial 4,Lammigje van Loveren
monday 9-11,A1.08,Databases 2,Tutorial 4,Wissal Eggens
monday 9-11,A1.08,Databases 2,Tutorial 4,Vinod Velt
monday 9-11,A1.08,Databases 2,Tutorial 4,Nadia Lems
monday 9-11,A1.08,Databases 2,Tutorial 4,Faruk Haalboom
monday 9-11,A1.08,Databases 2,Tutorial 4,Lorraine Rijkens
monday 9-11,A1.08,Databases 2,Tutorial 4,Jo-Anne Modderkolk
monday 9-11,A1.08,Databases 2,Tutorial 4,Eylem Haas
monday 9-11,A1.10,Moderne Databases,Tutorial 3,Ceciel Kentie
monday 9-11,A1.10,Moderne Databases,Tutorial 3,Skye Tas
monday 9-11,A1.10,Moderne Databases,Tutorial 3,Patryk van de Kraats
monday 9-11,A1.10,Moderne Databases,Tutorial 3,Jodi van Riel
monday 9-11,A1.10,Moderne Databases,Tutorial 3,Vasco Waninge
monday 9-11,A1.10,Moderne Databases,Tutorial 3,Elske van Suijlekom
monday 9-11,A1.10,Moderne Databases,Tutorial 3,Federico Levels
monday 9-11,A1.10,Moderne Databases,Tutorial 3,Micha van Maarseveen
monday 9-11,A1.10,Moderne Databases,Tutorial 3,Maritte Gok
monday 9-11,A1.10,Moderne Databases,Tutorial 3,Nurcan Fennis
monday 9-11,A1.10,Moderne Databases,Tutorial 3,Abdul van der Meeren
monday 9-11,A1.10,Moderne Databases,Tutorial 3,Diemer Fokkens
monday 9-11,A1.10,Moderne Databases,Tutorial 3,Hande Essink
monday 9-11,A1.10,Moderne Databases,Tutorial 3,Vesna Nijs
monday 9-11,A1.10,Moderne Databases,Tutorial 3,Aya Woertman
monday 9-11,A1.10,Moderne Databases,Tutorial 3,Doede Duiveman
monday 9-11,A1.10,Moderne Databases,Tutorial 3,Ferhan van der Gulik
monday 9-11,A1.10,Moderne Databases,Tutorial 3,Marco Gilsing
monday 9-11,A1.10,Moderne Databases,Tutorial 3,Yarah Roest
monday 9-11,A1.10,Moderne Databases,Tutorial 3,Annamaria Twigt
monday 9-11,B0.201,Advanced Heuristics,Lab 1,Sola Droog
monday 9-11,B0.201,Advanced Heuristics,Lab 1,Rafaela Polfliet
monday 9-11,B0.201,Advanced Heuristics,Lab 1,Kaoutar Philips
monday 9-11,B0.201,Advanced Heuristics,Lab 1,Buck Lantinga
monday 9-11,B0.201,Advanced Heuristics,Lab 1,Jorren Modderkolk
monday 9-11,B0.201,Advanced Heuristics,Lab 1,Servet Sijmons
monday 9-11,B0.201,Advanced Heuristics,Lab 1,Vivianne Buter
monday 9-11,B0.201,Advanced Heuristics,Lab 1,Nuriye Kooijmans
monday 9-11,B0.201,Advanced Heuristics,Lab 1,Vigo Wijers
monday 9-11,B0.201,Advanced Heuristics,Lab 1,Ruveyda van Lingen
monday 9-11,C0.110,Collectieve Intelligentie,Lab 4,Laurentia Cooijmans
monday 9-11,C0.110,Collectieve Intelligentie,Lab 4,Sivar Rottier
monday 9-11,C0.110,Collectieve Intelligentie,Lab 4,Harke Wester
monday 9-11,C0.110,Collectieve Intelligentie,Lab 4,Marcellus Mijnheer
monday 9-11,C0.110,Collectieve Intelligentie,Lab 4,Evi Appel
monday 9-11,C0.110,Collectieve Intelligentie,Lab 4,Hetty Lindhout
monday 9-11,C0.110,Collectieve Intelligentie,Lab 4,Femia Brink
monday 9-11,C0.110,Collectieve Intelligentie,Lab 4,Marrie Bekker
monday 9-11,C0.110,Collectieve Intelligentie,Lab 4,Wichard Hospers
monday 9-11,C0.110,Collectieve Intelligentie,Lab 4,Jos Welling
monday 9-11,C0.110,Collectieve Intelligentie,Lab 4,Felien Uitslag
monday 9-11,C0.110,Collectieve Intelligentie,Lab 4,Wafa Bart
monday 9-11,C0.110,Collectieve Intelligentie,Lab 4,Daisy van der Klei
monday 9-11,C0.110,Collectieve Intelligentie,Lab 4,Marck Wijngaarden
monday 9-11,C0.110,Collectieve Intelligentie,Lab 4,Karolina Roodbeen
monday 9-11,C0.110,Collectieve Intelligentie,Lab 4,Sanne van Sleeuwen
monday 9-11,C0.110,Collectieve Intelligentie,Lab 4,Bobby Veldhuis
monday 9-11,C1.112,Software engineering,Tutorial 2,Gabriella Yazici
monday 9-11,C1.112,Software engineering,Tutorial 2,Maron Miedema
monday 9-11,C1.112,Software engineering,Tutorial 2,Hananja Cramer
monday 9-11,C1.112,Software engineering,Tutorial 2,Pleun ter Heide
monday 9-11,C1.112,Software engineering,Tutorial 2,Frederic IJkema
monday 9-11,C1.112,Software engineering,Tutorial 2,Servaas Anker
monday 9-11,C1.112,Software engineering,Tutorial 2,Dorenda Malestein
monday 9-11,C1.112,Software engineering,Tutorial 2,Esmee Hooijmaijers
monday 9-11,C1.112,Software engineering,Tutorial 2,Tarik van Vloten
monday 9-11,C1.112,Software engineering,Tutorial 2,Deacon Gielissen
monday 9-11,C1.112,Software engineering,Tutorial 2,Angelica Sarikaya
