Tijdslot,Zaal,Vak,Activiteit,Student
monday 9-11,A1.04,Informatie- en organisatieontwerp,Lecture 2,Gidon Baetsen
monday 9-11,A1.04,Informatie- en organisatieontwerp,Lecture 2,Monika Blikman
monday 9-11,A1.04,Informatie- en organisatieontwerp,Lecture 2,Devlin Bronsema
monday 9-11,A1.04,Informatie- en organisatieontwerp,Lecture 2,Rika Buizer
monday 9-11,A1.04,Informatie- en organisatieontwerp,Lecture 2,Abdel Buth
monday 9-11,A1.04,Informatie- en organisatieontwerp,Lecture 2,Everhard Curvers
monday 9-11,A1.04,Informatie- en organisatieontwerp,Lecture 2,Oumaima Donselaar
monday 9-11,A1.04,Informatie- en organisatieontwerp,Lecture 2,Doede Duiveman
monday 9-11,A1.04,Informatie- en organisatieontwerp,Lecture 2,Eylem Haas
monday 9-11,A1.04,Informatie- en organisatieontwerp,Lecture 2,Gerritjan Joris
monday 9-11,A1.04,Informatie- en organisatieontwerp,Lecture 2,Thys Kersten
monday 9-11,A1.04,Informatie- en organisatieontwerp,Lecture 2,Ylse Klarenbeek
monday 9-11,A1.04,Informatie- en organisatieontwerp,Lecture 2,Rins Oosterbeek
monday 9-11,A1.04,Informatie- en organisatieontwerp,Lecture 2,Emrah Schrama
monday 9-11,A1.04,Informatie- en organisatieontwerp,Lecture 2,Noa Slangen
monday 9-11,A1.04,Informatie- en organisatieontwerp,Lecture 2,Enrique van den Born
monday 9-11,A1.04,Informatie- en organisatieontwerp,Lecture 2,Agelo van der Meer
monday 9-11,A1.04,Informatie- en organisatieontwerp,Lecture 2,Yun van der Vleuten
monday 9-11,A1.04,Informatie- en organisatieontwerp,Lecture 2,Jetty van Putten
monday 9-11,A1.04,Informatie- en organisatieontwerp,Lecture 2,Tjesse Voesten
monday 9-11,A1.04,Informatie- en organisatieontwerp,Lecture 2,Aya Woertman
monday 9-11,A1.06,Collectieve Intelligentie,Lab 1,Miquel Metzelaar
monday 9-11,A1.06,Collectieve Intelligentie,Lab 1,Evi Appel
monday 9-11,A1.06,Collectieve Intelligentie,Lab 1,Ella Bischoff
monday 9-11,A1.06,Collectieve Intelligentie,Lab 1,Ravi Bauer
monday 9-11,A1.06,Collectieve Intelligentie,Lab 1,Casimir Overbeeke
monday 9-11,A1.06,Collectieve Intelligentie,Lab 1,Laurentia Cooijmans
monday 9-11,A1.06,Collectieve Intelligentie,Lab 1,Hetty Lindhout
monday 9-11,A1.06,Collectieve Intelligentie,Lab 1,Fatime Rodenburg
monday 9-11,A1.06,Collectieve Intelligentie,Lab 1,Bobby Veldhuis
monday 9-11,A1.06,Collectieve Intelligentie,Lab 1,Titia Korbee
monday 9-11,A1.06,Collectieve Intelligentie,Lab 1,Sharan Baselmans
monday 9-11,A1.06,Collectieve Intelligentie,Lab 1,Marck Wijngaarden
monday 9-11,A1.06,Collectieve Intelligentie,Lab 1,Matz Koning
monday 9-11,A1.06,Collectieve Intelligentie,Lab 1,Solane Paulissen
monday 9-11,A1.06,Collectieve Intelligentie,Lab 1,Kimmy Kesteloo
monday 9-11,A1.06,Collectieve Intelligentie,Lab 1,Brigitta Diallo
monday 9-11,A1.06,Collectieve Intelligentie,Lab 1,Harke Wester
monday 9-11,A1.06,Collectieve Intelligentie,Lab 1,Marije de Vreeze
monday 9-11,A1.08,Advanced Heuristics,Lab 1,Eleanora Rovers
monday 9-11,A1.08,Advanced Heuristics,Lab 1,Sola Droog
monday 9-11,A1.08,Advanced Heuristics,Lab 1,Herman Apeldoorn
monday 9-11,A1.08,Advanced Heuristics,Lab 1,Ruveyda van Lingen
monday 9-11,A1.08,Advanced Heuristics,Lab 1,Tian Berkers
monday 9-11,A1.08,Advanced Heuristics,Lab 1,Shan Rokx
monday 9-11,A1.08,Advanced Heuristics,Lab 1,Nuriye Kooijmans
monday 9-11,A1.08,Advanced Heuristics,Lab 1,Kyllian Bekkema
monday 9-11,A1.08,Advanced Heuristics,Lab 1,Rafaela Polfliet
monday 9-11,A1.08,Advanced Heuristics,Lab 1,Seyed Laurijssen
monday 9-11,A1.10,Software engineering,Lab 1,Renco van Weel
monday 9-11,A1.10,Software engineering,Lab 1,Kavish Versteeg
monday 9-11,A1.10,Software engineering,Lab 1,Nygel Vaatstra
monday 9-11,A1.10,Software engineering,Lab 1,Abdallah Beulen
monday 9-11,A1.10,Software engineering,Lab 1,Yuri van Mourik
monday 9-11,A1.10,Software engineering,Lab 1,Christal Hoogerbrugge
monday 9-11,A1.10,Software engineering,Lab 1,Albertien de Hoogh
monday 9-11,A1.10,Software engineering,Lab 1,Roma Rotgans
monday 9-11,A1.10,Software engineering,Lab 1,Geurt Nuiten
monday 9-11,A1.10,Software engineering,Lab 1,Brecht Eeltink
monday 9-11,A1.10,Software engineering,Lab 1,Jos Welling
monday 9-11,A1.10,Software engineering,Lab 1,Marssae Joseph
monday 9-11,A1.10,Software engineering,Lab 1,Roan Meulmeester
monday 9-11,A1.10,Software engineering,Lab 1,Ko Droste
monday 9-11,A1.10,Software engineering,Lab 1,Abram van Mierlo
monday 9-11,A1.10,Software engineering,Lab 1,Ycel van Kasteel
monday 9-11,A1.10,Software engineering,Lab 1,Bjorn Leijen
monday 9-11,A1.10,Software engineering,Lab 1,Minoesch Scheltema
monday 9-11,A1.10,Software engineering,Lab 1,Sonny Mol
monday 9-11,A1.10,Software engineering,Lab 1,Esmee Hooijmaijers
monday 9-11,A1.10,Software engineering,Lab 1,Haroun Lemaire
monday 9-11,A1.10,Software engineering,Lab 1,Servaas Anker
monday 9-11,A1.10,Software engineering,Lab 1,Tevfik Rothuizen
monday 9-11,A1.10,Software engineering,Lab 1,Rachell Smallegange
monday 9-11,A1.10,Software engineering,Lab 1,Nermin Talhaoui
monday 9-11,A1.10,Software engineering,Lab 1,Tarik van Vloten
monday 9-11,A1.10,Software engineering,Lab 1,Kimm Rienks
monday 9-11,A1.10,Software engineering,Lab 1,Geerten Elschot
monday 9-11,A1.10,Software engineering,Lab 1,Catharinus Eggermont
monday 9-11,A1.10,Software engineering,Lab 1,Naciye van Eert
monday 9-11,A1.10,Software engineering,Lab 1,Hananja Cramer
monday 9-11,A1.10,Software engineering,Lab 1,Ynze Freriks
monday 9-11,A1.10,Software engineering,Lab 1,Angelica Sarikaya
monday 9-11,A1.10,Software engineering,Lab 1,Sanja Tas
monday 9-11,A1.10,Software engineering,Lab 1,Priscillia van Voorden
monday 9-11,A1.10,Software engineering,Lab 1,Rosali Heikoop
monday 9-11,B0.201,Interactie-ontwerp,Lecture 1,Nanet van Osta
monday 9-11,B0.201,Interactie-ontwerp,Lecture 1,Malte Zondag
monday 9-11,B0.201,Interactie-ontwerp,Lecture 1,Vincentius Pater
monday 9-11,B0.201,Interactie-ontwerp,Lecture 1,Yee Koppers
monday 9-11,B0.201,Interactie-ontwerp,Lecture 1,Hedwich Toetenel
monday 9-11,B0.201,Interactie-ontwerp,Lecture 1,Mattijs Baudoin
monday 9-11,B0.201,Interactie-ontwerp,Lecture 1,Maggy van Walsum
monday 9-11,B0.201,Interactie-ontwerp,Lecture 1,Xiao Teekens
monday 9-11,B0.201,Interactie-ontwerp,Lecture 1,Carmela van Gerwen
monday 9-11,B0.201,Interactie-ontwerp,Lecture 1,Laurent Wallenburg
monday 9-11,B0.201,Interactie-ontwerp,Lecture 1,Berit van Ingen
monday 9-11,B0.201,Interactie-ontwerp,Lecture 1,Jersey van Ravesteijn
monday 9-11,B0.201,Interactie-ontwerp,Lecture 1,Fynn Krabbe
monday 9-11,B0.201,Interactie-ontwerp,Lecture 1,Marrit Speelman
monday 9-11,B0.201,Interactie-ontwerp,Lecture 1,Kathryn de Jongste
monday 9-11,B0.201,Interactie-ontwerp,Lecture 1,Buck Lantinga
monday 9-11,B0.201,Interactie-ontwerp,Lecture 1,Devon Keijser
monday 9-11,B0.201,Interactie-ontwerp,Lecture 1,Amadou Boekema
monday 9-11,B0.201,Interactie-ontwerp,Lecture 1,Maran van Wanrooij
monday 9-11,B0.201,Interactie-ontwerp,Lecture 1,Jacky van Apeldoorn
monday 9-11,B0.201,Interactie-ontwerp,Lecture 1,Sergio Hijdra
monday 9-11,B0.201,Interactie-ontwerp,Lecture 1,Jarik Blikman
monday 9-11,B0.201,Interactie-ontwerp,Lecture 1,Anthonius van Zoelen
monday 9-11,B0.201,Interactie-ontwerp,Lecture 1,Quido Deniz
monday 9-11,B0.201,Interactie-ontwerp,Lecture 1,Rijkje Groote
monday 9-11,C0.110,Machine Learning,Lecture 2,Lenne Boateng
monday 9-11,C0.110,Machine Learning,Lecture 2,Manuel de Boon
monday 9-11,C0.110,Machine Learning,Lecture 2,Dana Hoeksema
monday 9-11,C0.110,Machine Learning,Lecture 2,Tamar Jongbloed
monday 9-11,C0.110,Machine Learning,Lecture 2,Esme Karim
monday 9-11,C0.110,Machine Learning,Lecture 2,Antonetta Moeskops
monday 9-11,C0.110,Machine Learning,Lecture 2,Seb Okkerse
monday 9-11,C0.110,Machine Learning,Lecture 2,Luca Pereira
monday 9-11,C0.110,Machine Learning,Lecture 2,Romy Piek
monday 9-11,C0.110,Machine Learning,Lecture 2,Matthijs Pleiter
monday 9-11,C0.110,Machine Learning,Lecture 2,Mink Pothuizen
monday 9-11,C0.110,Machine Learning,Lecture 2,Haiko Raaijmakers
monday 9-11,C0.110,Machine Learning,Lecture 2,Xiao Schijvenaars
monday 9-11,C0.110,Machine Learning,Lecture 2,Patryk van de Kraats
monday 9-11,C0.110,Machine Learning,Lecture 2,Rayen van de Kruijs
monday 9-11,C0.110,Machine Learning,Lecture 2,Paulette van de Wardt
monday 9-11,C0.110,Machine Learning,Lecture 2,Nanke van den Berg
monday 9-11,C0.110,Machine Learning,Lecture 2,Ouidad van Hall
monday 9-11,C0.110,Machine Learning,Lecture 2,Lammigje van Loveren
monday 9-11,C0.110,Machine Learning,Lecture 2,Vasco Waninge
monday 9-11,C0.110,Machine Learning,Lecture 2,Evelina Wensing
monday 9-11,C0.110,Machine Learning,Lecture 2,Yunus Westera
monday 9-11,C1.112,Collectieve Intelligentie,Lab 2,Matisse Weij
monday 9-11,C1.112,Collectieve Intelligentie,Lab 2,Reduan Warsame
monday 9-11,C1.112,Collectieve Intelligentie,Lab 2,Marco Bloemert
monday 9-11,C1.112,Collectieve Intelligentie,Lab 2,Inger Notermans
monday 9-11,C1.112,Collectieve Intelligentie,Lab 2,Shannon Mullenders
monday 9-11,C1.112,Collectieve Intelligentie,Lab 2,Christiana Siero
monday 9-11,C1.112,Collectieve Intelligentie,Lab 2,Ard Tielemans
monday 9-11,C1.112,Collectieve Intelligentie,Lab 2,Geerte van der Meij
monday 9-11,C1.112,Collectieve Intelligentie,Lab 2,Felien Uitslag
monday 9-11,C1.112,Collectieve Intelligentie,Lab 2,Harwin van Loon
monday 9-11,C1.112,Collectieve Intelligentie,Lab 2,Jimi Sips
monday 9-11,C1.112,Collectieve Intelligentie,Lab 2,Sanne van Sleeuwen
monday 9-11,C1.112,Collectieve Intelligentie,Lab 2,Sohrab Geers
monday 9-11,C1.112,Collectieve Intelligentie,Lab 2,Karolina Roodbeen
monday 9-11,C1.112,Collectieve Intelligentie,Lab 2,Valery Majoor
monday 9-11,C1.112,Collectieve Intelligentie,Lab 2,Marcellus Mijnheer
monday 9-11,C1.112,Collectieve Intelligentie,Lab 2,Silvie Thoma
monday 9-11,C1.112,Collectieve Intelligentie,Lab 2,Romello Reintjes
monday 9-11,C1.112,Collectieve Intelligentie,Lab 2,Jorren Modderkolk
monday 9-11,C1.112,Collectieve Intelligentie,Lab 2,Marrie Bekker
monday 11-13,A1.04,Autonomous Agents 2,Lecture 1,Angelica Sarikaya
monday 11-13,A1.04,Autonomous Agents 2,Lecture 1,Andre Putters
monday 11-13,A1.04,Autonomous Agents 2,Lecture 1,Virginie Brunsveld
monday 11-13,A1.04,Autonomous Agents 2,Lecture 1,Bo Hilhorst
monday 11-13,A1.04,Autonomous Agents 2,Lecture 1,Deejay van der Geer
monday 11-13,A1.04,Autonomous Agents 2,Lecture 1,Herwin Ester
monday 11-13,A1.04,Autonomous Agents 2,Lecture 1,Danique Knibbe
monday 11-13,A1.04,Autonomous Agents 2,Lecture 1,Roan Meulmeester
monday 11-13,A1.04,Autonomous Agents 2,Lecture 1,Jurrian Fekkes
monday 11-13,A1.04,Autonomous Agents 2,Lecture 1,Tarah Broerse
monday 11-13,A1.04,Autonomous Agents 2,Lecture 1,Esmee Hooijmaijers
monday 11-13,A1.04,Autonomous Agents 2,Lecture 1,Umar Grift
monday 11-13,A1.04,Autonomous Agents 2,Lecture 1,Resul Kuijpers
monday 11-13,A1.04,Autonomous Agents 2,Lecture 1,Emrah Schrama
monday 11-13,A1.04,Autonomous Agents 2,Lecture 1,Luciana Putters
monday 11-13,A1.04,Autonomous Agents 2,Lecture 1,Tamimount van Herten
monday 11-13,A1.04,Autonomous Agents 2,Lecture 1,Rhona Vromans
monday 11-13,A1.04,Autonomous Agents 2,Lecture 1,Abdallah Beulen
monday 11-13,A1.04,Autonomous Agents 2,Lecture 1,Shaya Snelder
monday 11-13,A1.04,Autonomous Agents 2,Lecture 1,Deacon Gielissen
monday 11-13,A1.04,Autonomous Agents 2,Lecture 1,Lammigje van Loveren
monday 11-13,A1.04,Autonomous Agents 2,Lecture 1,Filipe Wiersema
monday 11-13,A1.06,Technology for games,Tutorial 2,Djura Kol
monday 11-13,A1.06,Technology for games,Tutorial 2,Buck Lantinga
monday 11-13,A1.06,Technology for games,Tutorial 2,Aya Woertman
monday 11-13,A1.06,Technology for games,Tutorial 2,Sherman Vervaart
monday 11-13,A1.06,Technology for games,Tutorial 2,Nygel Vaatstra
monday 11-13,A1.06,Technology for games,Tutorial 2,Redouane Paijmans
monday 11-13,A1.06,Technology for games,Tutorial 2,Sanne Lentz
monday 11-13,A1.06,Technology for games,Tutorial 2,Diemer Fokkens
monday 11-13,A1.06,Technology for games,Tutorial 2,Pietro Dieperink
monday 11-13,A1.06,Technology for games,Tutorial 2,Jorg 't Lam
monday 11-13,A1.06,Technology for games,Tutorial 2,Hanne Brans
monday 11-13,A1.06,Technology for games,Tutorial 2,Judi Hamers
monday 11-13,A1.06,Technology for games,Tutorial 2,Nadien Volman
monday 11-13,A1.06,Technology for games,Tutorial 2,Gabe Haarman
monday 11-13,A1.06,Technology for games,Tutorial 2,Bahattin Geelen
monday 11-13,A1.06,Technology for games,Tutorial 2,Maritha van der Niet
monday 11-13,A1.06,Technology for games,Tutorial 2,Bert Grooteman
monday 11-13,A1.06,Technology for games,Tutorial 2,Catherine Hoornstra
monday 11-13,A1.06,Technology for games,Tutorial 2,Albertien de Hoogh
monday 11-13,A1.08,Webprogrammeren en databases,Tutorial 1,Jonah Teuben
monday 11-13,A1.08,Webprogrammeren en databases,Tutorial 1,Chelly van der Doelen
monday 11-13,A1.08,Webprogrammeren en databases,Tutorial 1,Christianus Laman
monday 11-13,A1.08,Webprogrammeren en databases,Tutorial 1,Ziya Rooijmans
monday 11-13,A1.08,Webprogrammeren en databases,Tutorial 1,Yuri van Mourik
monday 11-13,A1.08,Webprogrammeren en databases,Tutorial 1,Marck Soekhai
monday 11-13,A1.08,Webprogrammeren en databases,Tutorial 1,Johannes van der Plaats
monday 11-13,A1.08,Webprogrammeren en databases,Tutorial 1,Hedwich Toetenel
monday 11-13,A1.08,Webprogrammeren en databases,Tutorial 1,Karolina Roodbeen
monday 11-13,A1.08,Webprogrammeren en databases,Tutorial 1,Anne-Jet Hofman
monday 11-13,A1.08,Webprogrammeren en databases,Tutorial 1,Jimi Sips
monday 11-13,A1.08,Webprogrammeren en databases,Tutorial 1,Maritte Gok
monday 11-13,A1.08,Webprogrammeren en databases,Tutorial 1,Bobby Veldhuis
monday 11-13,A1.08,Webprogrammeren en databases,Tutorial 1,Patric Geluk
monday 11-13,A1.08,Webprogrammeren en databases,Tutorial 1,Vinod Velt
monday 11-13,A1.08,Webprogrammeren en databases,Tutorial 1,Nalinie van Ierland
monday 11-13,A1.08,Webprogrammeren en databases,Tutorial 1,Malte Zondag
monday 11-13,A1.08,Webprogrammeren en databases,Tutorial 1,Abram van Mierlo
monday 11-13,A1.08,Webprogrammeren en databases,Tutorial 1,Juno Zaaijer
monday 11-13,A1.10,Collectieve Intelligentie,Tutorial 2,Sivar Rottier
monday 11-13,A1.10,Collectieve Intelligentie,Tutorial 2,Casimir Overbeeke
monday 11-13,A1.10,Collectieve Intelligentie,Tutorial 2,Priscillia van Voorden
monday 11-13,A1.10,Collectieve Intelligentie,Tutorial 2,Miquel Metzelaar
monday 11-13,A1.10,Collectieve Intelligentie,Tutorial 2,Xander Peijs
monday 11-13,A1.10,Collectieve Intelligentie,Tutorial 2,Ard Tielemans
monday 11-13,A1.10,Collectieve Intelligentie,Tutorial 2,Edin Bastings
monday 11-13,A1.10,Collectieve Intelligentie,Tutorial 2,Sohrab Geers
monday 11-13,A1.10,Collectieve Intelligentie,Tutorial 2,Femia Brink
monday 11-13,A1.10,Collectieve Intelligentie,Tutorial 2,Marck Wijngaarden
